,region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities
0,Алтайский край,5.925576805671055,9.684143614326002,13.557761975194328,78.08105428527584,10279.519,17.5,29.675,23192.25,98.69999999999999,26574.0,105.39999999999999,37.55,6.15,56.300000000000004,18.0,2.2666666666666666,260336.07499999998,353.47939247681893,156351.4,14.680000000000001,82.1,80.28,2249702.2,14622.460000000001,9995.68,19.0,27.1,53.9,6.9,48.258
1,Амурская область,5.189190920429171,10.527970341588652,14.957813911079239,83.64249738278957,8827.875,15.8,23.700000000000003,32238.25,101.375,44836.75,107.175,38.2,5.625,56.175000000000004,17.3,2.5666666666666664,471565.625,406.40442991917007,233941.4,20.36,86.32000000000001,85.58000000000001,786499.2,16258.98,10538.58,20.36,22.74,56.92,10.06,56.072
2,Архангельская область,4.8043841551683375,9.755236874891478,12.20706561970816,80.29364110747943,0.0,13.55,23.200000000000003,34653.25,99.9,49895.5,104.8,35.199999999999996,7.0249999999999995,57.8,16.9,2.6666666666666665,721405.7250000001,1177.4569462877948,242743.6,7.139999999999999,77.52000000000001,82.86,1073211.2,19491.620000000003,10790.18,18.860000000000003,26.360000000000003,54.779999999999994,8.379999999999999,53.394000000000005
3,Астраханская область,5.745306765575043,11.484549877410146,10.10726914891481,44.34770320459799,6430.322000000001,15.425,27.824999999999996,24181.0,98.875,34551.75,105.675,40.175,4.9,54.9,19.2,2.1,532061.75,790.1871934314174,176863.0,0.21999999999999997,17.08,83.10000000000001,987793.2,14195.140000000003,9923.48,20.439999999999998,24.14,55.42,9.18,60.581999999999994
4,Белгородская область,4.274275960030048,8.661738568803496,5.203892934849261,133.45136935169117,8218.121,7.575,15.475,31578.25,99.125,33243.75,105.025,22.049999999999997,6.175000000000001,21.775,17.8,1.7666666666666668,598089.375,1156.4788585561423,229457.6,3.12,41.58,87.75999999999999,1551543.4,15725.88,9221.64,16.839999999999996,27.560000000000002,55.6,3.28,78.66799999999999
5,Брянская область,4.670764558599354,8.542804015178255,8.112670553328716,89.64706444080957,8380.19,13.799999999999999,23.049999999999997,27164.75,99.575,28448.25,104.275,41.375,3.875,54.775,24.1,0.3,316206.125,426.2437114155568,222380.4,8.62,70.5,77.8,1198313.0,15474.34,8858.38,17.04,27.76,55.220000000000006,4.66,67.372
6,Владимирская область,5.7882105104055155,8.265263194612183,7.940960337079401,91.31474060856252,10219.806999999999,12.85,24.2,24593.25,99.30000000000001,31437.75,105.0,39.5,7.225,53.275000000000006,16.1,1.3333333333333333,369975.85,752.0047018109875,175641.6,8.379999999999999,76.97999999999999,84.94000000000001,1380439.6,15624.36,9479.2,16.580000000000002,29.179999999999996,54.239999999999995,6.0,59.275999999999996
7,Волгоградская область,4.834489691184308,8.583599682434455,7.841070344578251,68.96418684253925,6906.853,12.95,24.5,23468.0,99.64999999999999,32047.25,104.2,39.425,6.225,54.3,17.9,2.6,371060.22500000003,757.1958201195512,165751.0,7.9799999999999995,80.06,79.8,2537113.4,15061.3,9743.560000000001,17.160000000000004,27.279999999999994,55.580000000000005,4.42,71.83399999999999
8,Вологодская область,5.673227958389939,9.966710954099803,11.519442961609826,83.77483863513498,10204.027999999998,13.274999999999999,26.375,27689.5,98.70000000000002,37259.75,106.35,39.325,5.575000000000001,55.074999999999996,16.9,1.5999999999999999,517670.49999999994,1237.327595205618,173184.2,6.419999999999999,49.72,83.0,1167184.0,16360.5,10338.1,19.360000000000003,26.32,54.32000000000001,7.76,47.986
9,Воронежская область,4.337490779643618,8.662380130410268,6.387693048313532,92.80137336605155,5714.238,8.825,21.075000000000003,30971.75,98.475,32305.25,104.52499999999999,36.225,5.4,58.400000000000006,19.9,1.7333333333333334,418233.225,525.1832871633744,251843.6,18.540000000000003,72.66,85.6,2336122.8,14883.960000000001,8993.820000000002,15.739999999999998,28.72,55.54,5.92,74.36800000000001
10,Еврейская автономная область,9.697718926454296,10.993355897734979,12.080073700744224,81.28968955584898,7081.308000000001,23.875,28.25,25756.25,99.3,40572.0,104.825,34.125,9.65,56.225,13.8,1.6333333333333335,358445.225,300.4082348276855,161986.0,41.08,94.11999999999999,71.67999999999999,156932.0,15717.779999999999,10586.039999999999,20.979999999999997,22.740000000000002,56.3,7.4,49.593999999999994
11,Забайкальский край,6.515769452421951,12.532467805665942,18.200842365211326,76.36426495459645,6980.7119999999995,21.450000000000003,25.875,24875.5,100.69999999999999,41664.0,105.625,37.300000000000004,7.85,54.849999999999994,17.1,3.0,337103.05,362.6517529468812,163580.2,9.639999999999999,78.66,75.96000000000001,1035381.8,15188.420000000002,10160.819999999998,22.759999999999998,20.34,56.9,9.18,42.372
12,Ивановская область,3.876805532118225,8.645061763750077,8.150243841199375,81.646306654914,10033.992,14.225000000000001,26.475,25358.5,97.875,26458.75,102.94999999999999,37.3,8.475,54.224999999999994,18.1,2.6333333333333333,240565.15,398.360166220612,177532.0,7.1,76.6,80.66,966430.8,15148.34,9359.960000000001,16.46,28.72,54.82000000000001,6.0600000000000005,62.96600000000001
13,Иркутская область,6.373014518644505,12.037960593081968,12.19504214782145,87.524564615766,9455.401,17.775,26.674999999999997,25454.5,100.725,44251.25,104.6,39.474999999999994,6.075,54.425,16.3,3.4333333333333336,603108.65,997.3548070657213,160843.2,14.5,73.48,81.04,2400011.0,16747.1,10810.86,21.82,22.6,55.56,6.68,63.234
14,Кабардино-Балкарская Республика,5.000231441870994,11.881276903879186,4.502817701495879,63.899000983173565,4519.195,24.325,27.25,21168.75,99.02499999999999,26480.75,104.65,35.325,10.975000000000001,53.725,18.9,4.1000000000000005,193471.1,98.24293260938485,163490.6,10.040000000000001,39.78,72.6,892519.8,13040.68,9332.02,21.6,20.36,58.06,19.419999999999998,83.08999999999999
15,Калининградская область,4.611851387257846,9.714591048588662,7.397531197407669,69.69821900355176,8456.669,13.6,10.225,28098.5,100.77499999999999,34062.25,101.89999999999999,34.15,9.4,56.425,15.6,2.8333333333333335,497764.975,1237.9597232505,182242.8,5.96,64.04,83.3,1005168.4,15175.819999999998,9378.579999999998,17.68,25.2,57.120000000000005,7.859999999999999,81.776
16,Калужская область,3.966285870694455,9.115142326149385,8.621837786389095,73.25454322136248,8030.205,10.075,17.45,30420.0,98.8,39491.25,104.375,37.8,10.625,51.575,15.5,0.9,513323.6,1626.905433314524,207871.0,6.460000000000001,54.580000000000005,90.14,1051897.0,15903.960000000001,9256.220000000001,16.8,28.02,55.18000000000001,2.9,58.63599999999999
17,Камчатский край,5.937502698315452,11.219717639302202,12.565868883581267,45.26485679134178,8442.412,15.525,14.55,50531.25,102.67500000000001,76443.5,105.60000000000001,41.55,3.0,55.45,15.9,5.566666666666666,848223.125,1139.461235614925,198453.0,8.419999999999998,59.7,87.38,299116.4,23403.1,14908.98,18.82,20.48,60.7,5.880000000000001,66.702
18,Карачаево-Черкесская Республика,5.981418050409663,10.563520718864666,6.39481078843672,107.64926501011314,5545.585,23.125,23.75,18438.25,98.375,26222.0,104.975,34.925000000000004,9.2,55.875,18.3,6.1000000000000005,191652.72499999998,184.14918619219145,85404.6,4.48,21.7,63.08,469928.6,14062.380000000001,10280.420000000002,20.48,22.18,57.31999999999999,14.36,47.916000000000004
19,Кемеровская область,5.973830983487444,9.238931883315292,14.24339174920211,83.67629270346845,8229.231,13.899999999999999,23.85,23906.5,100.19999999999999,38967.5,105.9,42.025000000000006,5.025,52.97500000000001,16.3,1.2666666666666668,421738.525,1246.291737015328,150344.6,12.780000000000001,37.959999999999994,80.05999999999999,2664847.0,15937.779999999999,11062.48,19.52,25.48,55.0,8.84,49.854
20,Кировская область,4.37854848843749,9.660643634037534,12.697937231457573,102.19490102289635,8051.196999999999,14.8,26.049999999999997,22959.5,99.125,29013.0,105.225,38.075,5.05,56.825,14.9,2.033333333333333,285374.475,461.68619563504905,162167.8,4.3,65.47999999999999,85.08,1209279.0,15494.98,9638.439999999999,18.1,29.18,52.720000000000006,6.640000000000001,48.236000000000004
21,Костромская область,6.417351105216058,9.617369769509445,10.28436450712267,99.46516313895717,8154.602000000001,12.8,21.325,24718.5,98.175,28979.75,104.85,42.4,5.425000000000001,52.15,14.5,2.2,304832.425,575.2630355572717,175652.4,7.739999999999999,56.2,81.94000000000001,606601.6,15164.459999999997,9492.8,18.380000000000003,28.080000000000002,53.52,5.98,48.699999999999996
22,Краснодарский край,4.079319679017502,10.812841035098124,5.441006015784684,74.2200794885943,6704.499,10.5,23.974999999999998,35071.5,99.975,34705.25,103.925,40.875,8.025,51.099999999999994,18.1,2.966666666666667,448148.3,403.1835687347626,266580.6,3.4,14.6,84.0,5741951.0,14782.86,9555.14,18.78,25.919999999999998,55.3,5.0,63.267999999999994
23,Красноярский край,5.856813628425426,10.91018055329548,11.463939991122903,62.62579889810976,7524.594,17.25,22.75,30851.25,100.60000000000001,47777.5,105.45,38.875,5.6000000000000005,55.5,16.6,3.333333333333334,850749.55,1567.8282711780275,197263.2,15.559999999999999,64.62,85.05999999999999,2874764.6,17025.54,10911.119999999999,19.82,22.84,57.32000000000001,6.08,64.786
24,Курганская область,5.530328196754924,9.953058734907824,16.46567765756782,90.6305254940161,9776.939,19.55,26.6,21039.5,97.3,29351.5,105.25,39.525,4.0249999999999995,56.474999999999994,16.7,3.266666666666667,269786.7,343.80961495977346,143998.0,20.34,69.32,74.02000000000001,811858.8,14844.680000000002,9633.06,19.359999999999996,29.060000000000002,51.58,10.500000000000002,43.31
25,Курская область,4.77152440639753,8.734558604449703,8.349477341793882,107.83674240554751,6091.254,10.0,23.025000000000002,28080.5,99.47500000000001,31431.25,104.72500000000001,38.099999999999994,7.025,54.875,17.1,2.1,425976.02499999997,637.7751274110487,204209.8,4.58,59.239999999999995,84.17999999999999,1105247.6,14869.9,9088.439999999999,16.82,28.68,54.5,4.56,70.376
26,Ленинградская область,3.6595332794942967,7.217998425608026,4.953514170184778,72.37212108330047,7565.437000000001,8.725,16.675,31616.0,101.72500000000001,44409.25,103.85,12.625,5.85,31.549999999999997,17.0,3.933333333333333,625482.85,1294.7705843006229,243374.0,8.6,27.759999999999998,74.03999999999999,1910991.8,16304.859999999997,9122.22,15.419999999999998,27.419999999999998,57.18000000000001,3.8599999999999994,65.01599999999999
27,Липецкая область,3.45919941169131,8.722919529836407,7.002956471202966,102.0321762927761,6415.736,8.625,21.2,30917.75,99.42499999999998,32794.75,104.875,39.45,5.7,54.875,16.5,1.1,506375.175,1279.0676132954902,236035.8,6.359999999999999,72.56000000000002,90.44,1161515.8,15302.619999999999,9290.5,17.12,28.380000000000003,54.52,2.0999999999999996,79.062
28,Магаданская область,4.467080186320919,9.679935860541226,13.509676613575698,35.656039040143966,6881.12,9.65,12.4,62711.0,103.52499999999999,89760.0,106.4,36.225,6.575,55.0,13.8,3.8666666666666667,1476716.35,2635.891550440008,243004.0,7.459999999999999,109.5,107.44000000000001,140672.4,23496.44,15209.88,18.78,21.419999999999998,59.81999999999999,5.9,57.178
29,Москва,4.624269321854447,10.305446502349477,2.882642974255202,80.19955297071695,7608.420999999999,6.625,16.900000000000002,71807.75,102.3,87994.25,104.75,39.65,9.774999999999999,50.625,13.8,2.933333333333333,1486806.2249999999,1437.4727842011266,407012.2,9.1,20.880000000000003,120.60000000000002,12779298.4,17009.82,9964.16,15.219999999999999,27.2,57.58,3.1599999999999997,90.28800000000001
30,Московская область,3.829114995292285,9.70780488997054,4.893199578933085,51.14415187453996,7546.6669999999995,7.325,18.75,45324.75,100.625,53098.75,104.05,45.05,7.6499999999999995,47.275,14.8,2.533333333333333,636135.825,771.4164983100411,339999.8,11.260000000000002,34.620000000000005,78.13999999999999,8218257.8,16850.3,9707.619999999999,17.8,24.52,57.67999999999999,4.48,76.55999999999999
31,Мурманская область,5.224739309258879,9.780193688817775,9.660475470708079,40.82349512451548,9963.702,10.475000000000001,23.575,42857.25,100.85,60706.75,105.0,40.349999999999994,3.8249999999999997,55.75,17.7,3.266666666666666,807275.275,1584.0448105122828,237658.0,6.5,44.3,81.52,702723.0,20744.2,13034.039999999999,18.660000000000004,22.080000000000002,59.260000000000005,6.719999999999999,91.086
32,Ненецкий автономный округ,4.284334334281577,14.439984409457796,14.59039561046636,69.55947186978128,13568.83,9.774999999999999,15.275,79187.5,101.92500000000001,84305.75,103.92500000000001,48.875,2.825,48.275000000000006,20.9,7.600000000000001,6519595.449999999,15428.271150634566,224226.2,1.8199999999999998,148.36,125.4,41826.8,24228.2,12701.539999999999,24.58,18.64,56.779999999999994,9.16,55.174
33,Нижегородская область,5.0446677341571196,9.334475859826394,7.304524877637782,90.86194113125407,9943.742999999999,9.6,22.8,32299.0,98.375,34037.25,103.10000000000001,35.6,7.5,56.925,17.5,1.5333333333333334,474229.17499999993,944.2065515755762,240629.2,7.459999999999999,42.220000000000006,92.25999999999999,3189745.6,15675.220000000001,9360.179999999998,16.98,27.82,55.2,4.040000000000001,69.74199999999999
34,Новгородская область,5.049233167060599,8.921375671781673,10.921222321763846,99.22421587036055,9225.529,13.725,24.025,25830.0,96.575,31779.0,101.44999999999999,33.324999999999996,7.25,59.4,17.6,1.4333333333333333,444603.45,743.2217991250694,202618.6,9.860000000000001,59.5,86.66000000000001,598364.8,15778.14,9292.480000000001,17.66,29.46,52.879999999999995,6.159999999999999,44.584
35,Новосибирская область,5.187980652881739,11.028944832785239,8.372970175945616,65.57349858453529,8443.207,14.225000000000001,23.475,29668.0,101.325,37145.75,105.19999999999999,36.325,7.025,56.6,16.3,2.8666666666666667,470008.92499999993,485.0254344873343,195904.6,17.860000000000003,40.339999999999996,84.06000000000002,2801594.6,15592.960000000001,10185.960000000001,18.82,24.82,56.339999999999996,7.720000000000001,64.444
36,Омская область,6.081809732696641,10.22565322397268,9.232941662917153,65.61462453954121,7921.219,13.825,29.025,26114.75,98.625,33890.0,104.35000000000001,41.65,5.550000000000001,52.825,16.9,2.233333333333333,382728.4,997.2278622498488,182446.8,7.4799999999999995,27.0,82.62,1920888.2,15004.640000000003,10407.060000000001,19.54,24.98,55.480000000000004,8.02,57.636
37,Оренбургская область,5.115625517306109,10.587913340569548,10.499808847648437,99.84487908125593,8316.219,14.2,25.85,23874.25,99.125,31443.5,104.325,42.849999999999994,5.25,51.875,19.0,2.4666666666666663,520276.82499999995,942.7765084804062,167921.2,4.18,78.89999999999999,82.10000000000001,1913377.0,14738.02,10471.119999999999,20.1,25.16,54.760000000000005,9.16,71.446
38,Орловская область,5.7988507496165,8.398624668751633,6.1988174854334215,84.05238063111463,9691.76,13.475,25.65,25445.25,99.475,28458.0,104.64999999999999,38.825,6.7250000000000005,54.425,18.8,2.4999999999999996,347763.625,365.6794651377649,190168.6,4.76,84.64000000000001,76.24000000000001,736987.8,15913.5,9507.34,16.419999999999998,29.2,54.36,4.6,67.51200000000001
39,Пензенская область,4.376854717898548,8.066134848772588,7.503445921054537,73.78102119174493,8063.4580000000005,13.575,23.424999999999997,22563.75,99.9,29684.25,103.4,37.3,9.5,53.25,16.9,0.8666666666666667,328419.825,380.137483890769,168224.4,6.659999999999999,104.92,81.96000000000001,1307767.4,14701.679999999998,8758.82,15.959999999999999,29.6,54.44,5.7,67.242
40,Пермский край,4.600152954374066,10.731367328222763,11.003626722782126,79.2823381835017,9432.728,14.274999999999999,23.525,29462.75,98.75,37480.5,105.0,40.525,5.175,54.275000000000006,16.0,2.4,533400.35,1204.3492667944292,213405.0,12.24,79.64,79.46000000000001,2586994.0,15924.88,10306.26,20.3,24.660000000000004,55.040000000000006,6.659999999999999,66.94200000000001
