,region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities
41,Приморский край,5.669940737881501,10.03775371510719,10.22894690415013,58.397257939381426,8553.626,13.825,23.8,35268.75,100.6,44304.0,105.275,41.55,5.55,52.89999999999999,15.7,2.8333333333333335,530783.075,368.4428504287887,229313.4,34.7,62.46,86.64000000000001,1886206.2,16171.2,10142.16,17.82,24.52,57.660000000000004,4.779999999999999,52.54200000000001
42,Псковская область,4.972558332221501,8.825549521762433,10.225735180198964,78.13305365866064,7765.871,16.775000000000002,23.25,24781.25,100.2,27866.75,105.17500000000001,34.95,7.075,57.925000000000004,15.0,2.1999999999999997,296125.69999999995,419.8018909980726,194440.6,6.2,92.64000000000001,82.2,618730.6,15158.4,9160.74,16.6,29.6,53.8,4.88,45.428
43,Республика Адыгея,4.687886038976403,9.378011469412838,5.506981400435248,69.98024043606998,6402.635,12.725,21.1,28359.75,102.0,28578.0,105.125,40.075,9.6,50.35,19.6,5.966666666666666,275881.8,245.05924609764895,230516.2,4.659999999999999,36.620000000000005,60.0,479395.4,14205.580000000002,9224.439999999999,19.619999999999997,25.279999999999998,55.1,7.980000000000001,69.47999999999999
44,Республика Алтай,8.860059880496852,14.792333937514567,21.056981762733646,103.45104710008987,7708.714,24.375,18.525000000000002,20005.0,102.825,31731.25,107.075,45.375,3.9,50.699999999999996,14.4,5.233333333333333,255542.125,90.54869181974803,132615.6,10.779999999999998,56.379999999999995,69.7,211099.6,14534.4,11260.960000000001,28.0,18.380000000000003,53.620000000000005,17.04,22.157999999999998
45,Республика Башкортостан,5.93242586519756,10.63843242275785,8.862268470530605,61.84218348858538,8146.061,12.0,21.75,29562.75,98.55000000000001,34828.5,104.875,40.1,5.5,54.425,17.4,2.9000000000000004,416856.25,791.4200358919297,226833.0,6.459999999999999,52.879999999999995,73.84,4113712.8,15370.98,10186.0,20.380000000000003,24.0,55.61999999999999,8.34,69.152
46,Республика Бурятия,5.651580155382904,13.336740883913077,16.068888132095466,75.52390959854861,5377.92,19.525,23.7,24825.25,98.45,37299.75,104.47500000000001,43.5,4.95,51.574999999999996,17.2,5.666666666666667,272210.8,280.3977187261894,193687.0,2.88,52.17999999999999,67.91999999999999,981090.0,15358.819999999998,10970.3,24.46,20.04,55.48,8.02,33.898
47,Республика Дагестан,7.896804848186969,15.082234347550104,2.1781179878027594,94.33908602048261,6464.222,14.625,27.15,26826.75,99.375,26318.25,107.57499999999999,39.89999999999999,6.525,53.55,22.5,2.9,225215.39999999997,45.7164892034208,195244.2,8.02,12.3,57.779999999999994,3113324.4,13271.320000000002,10767.14,25.740000000000002,13.919999999999998,60.339999999999996,14.26,42.967999999999996
48,Республика Ингушетия,6.182754076348273,16.717462922457297,1.2597826176992055,111.32010196354047,5391.978,30.125,30.175,16363.75,100.39999999999999,26293.75,103.95,39.8,9.25,50.925,27.8,0.13333333333333333,137630.34999999998,20.739940971673924,51502.2,5.96,0.36,62.06,488510.0,15548.880000000001,11233.02,28.48,12.9,58.620000000000005,52.04,84.96400000000001
49,Республика Калмыкия,3.628610480103498,10.504070297499165,8.24463358135321,78.81490887089726,8414.419,23.525000000000002,24.55,17915.5,101.275,27399.5,106.57500000000002,27.025,1.95,46.025000000000006,20.2,2.1666666666666665,318996.05000000005,35.83927666719262,83125.2,0.3,35.86,69.96,272426.6,13792.019999999999,9983.460000000001,21.759999999999998,22.339999999999996,55.9,10.68,48.068
50,Республика Карелия,5.017533657394528,10.08727289153235,14.292520490080033,110.83446086329113,11801.616000000002,15.725,26.55,30015.0,101.15,40825.25,105.125,38.724999999999994,5.625,55.699999999999996,17.1,4.7,492190.175,816.6380977072014,213030.0,6.4799999999999995,88.67999999999999,79.35999999999999,561847.6,19195.82,10798.939999999999,18.339999999999996,27.060000000000002,54.620000000000005,9.52,54.226
51,Республика Коми,4.345489924242187,10.525014700247876,16.25029800026673,80.2861817958266,11381.485,15.350000000000001,22.975,34604.25,98.425,51668.5,102.65,38.15,7.275,54.599999999999994,15.5,6.833333333333333,793811.925,1528.102666439982,196544.4,9.58,96.83999999999999,83.8,780048.6,19858.28,11264.5,20.2,22.64,57.160000000000004,8.12,57.766
52,Республика Крым,4.931220645332557,10.102292047219171,5.863154934542088,64.11888067059587,5597.599,17.775000000000002,13.9,21664.0,102.7,30683.5,105.225,43.875,5.25,50.87499999999999,19.0,1.3,236429.90000000002,157.92622816783563,144378.4,12.940000000000001,45.779999999999994,82.02,1931163.0,14350.86,9359.18,18.140000000000004,27.9,53.98,6.340000000000001,58.876
53,Республика Марий Эл,4.674625954074736,10.322275637745722,7.2792816117254615,92.07216366289575,9160.416,20.424999999999997,23.6,20315.25,99.025,29003.25,104.60000000000001,35.425,4.95,59.65,16.5,3.9333333333333336,283618.5,501.44826129820876,135267.6,3.7,134.45999999999998,74.66,683995.4,14419.02,9436.420000000002,19.74,25.52,54.739999999999995,4.66,66.52399999999999
54,Республика Мордовия,3.942409643130027,7.5306004861302345,8.052571429121576,86.55374365629032,7724.781,17.9,21.025,19321.25,100.325,27742.5,104.85,33.375,7.5,59.2,20.0,1.1333333333333333,318644.89999999997,538.4944574084807,124846.6,2.9,83.62,83.84,803445.8,14485.74,9225.58,15.139999999999997,27.82,57.040000000000006,5.1,59.926
55,Республика Саха (Якутия),4.63340228873629,13.408415516348345,10.542311646550061,53.75071274741733,9768.72,18.325,15.7,43798.25,101.025,70414.25,102.97500000000001,45.2,5.425000000000001,49.375,16.5,4.633333333333334,1142831.35,1831.0419815144319,249393.4,3.6,120.46,87.38,973938.0,21485.76,12768.82,24.64,17.04,58.32000000000001,10.8,46.536
56,Республика Татарстан,4.531971142533736,11.056646809793381,7.009758016048454,71.36652431866142,7979.278,6.925000000000001,13.225000000000001,34375.75,99.2,36168.75,103.875,41.0,8.525,50.474999999999994,16.2,2.9,661923.3,1336.7511435998333,242823.2,10.32,47.18000000000001,89.73999999999998,3977905.0,15477.060000000001,9326.96,19.44,24.700000000000003,55.86,4.180000000000001,81.7
57,Республика Тыва,7.186722379478897,20.121218212944207,17.15261687842769,63.18902218176576,5335.467,33.99999999999999,23.0,16552.5,103.55000000000001,37701.75,106.6,45.675,4.4,49.925000000000004,13.6,11.299999999999999,231519.30000000002,173.8855636981532,77811.2,10.559999999999999,70.94000000000001,57.279999999999994,327000.0,16566.100000000002,11686.2,34.38,11.26,54.36,31.8,34.886
58,Республика Хакасия,4.636467913560574,10.792352938283093,16.79574545624156,51.56248958735464,8196.282,18.7,23.700000000000003,22087.0,100.925,39050.0,103.775,39.599999999999994,4.6,55.775000000000006,17.9,2.3333333333333335,459103.5,806.5278577192131,168776.0,12.86,74.53999999999999,76.5,538995.2,15592.719999999998,11243.880000000001,21.88,23.299999999999997,54.81999999999999,8.92,61.788
59,Ростовская область,5.726425884655855,9.194777959632068,6.674748363204797,83.62103111905286,8186.391,13.350000000000001,26.124999999999996,29753.75,100.6,32331.75,104.05000000000001,40.375,4.925000000000001,54.7,18.2,2.6666666666666665,375668.45000000007,505.9332265080709,233992.0,8.879999999999999,28.7,82.26,4234922.0,14666.9,9106.92,16.96,26.96,56.080000000000005,6.94,66.102
60,Рязанская область,5.0535087298269685,8.40635231002947,5.468151651700241,117.80124148285806,8228.89,12.95,21.825,25977.75,98.675,32920.5,103.05,34.6,7.075,58.349999999999994,19.0,1.1333333333333333,382276.92500000005,638.3183663179034,188330.6,16.5,43.02,81.97999999999999,1123585.4,15420.780000000002,9297.08,15.84,30.1,54.080000000000005,4.74,60.696000000000005
61,Самарская область,4.553413899987101,9.53141913190491,8.100558238437678,66.57997298095268,10008.283000000001,12.8,22.75,28647.0,98.80000000000001,34856.25,104.55000000000001,39.625,5.875,54.49999999999999,16.9,2.6999999999999997,499635.225,977.694439287369,213076.6,8.860000000000001,41.4,92.14000000000001,3206534.2,15681.34,9292.679999999998,17.36,27.0,55.64,5.619999999999999,81.948
62,Санкт-Петербург,3.6385450155234222,10.81699848792304,3.8351917915567264,106.1704637958389,11125.153999999999,6.525,17.0,45928.25,102.375,62175.0,105.125,13.075,2.45,34.5,15.7,1.9999999999999998,904691.8,1026.3047353730658,286353.2,8.32,14.84,102.92,5523162.4,17396.739999999998,9416.98,15.679999999999998,26.799999999999994,57.52,4.22,96.316
63,Саратовская область,4.477424196579479,8.270658174639262,7.115760643302221,54.89994995344544,8038.751,15.524999999999999,27.825,22117.5,100.75,28955.75,105.7,39.425,5.6,55.0,17.8,3.4666666666666663,325738.725,436.58481059435314,157821.4,5.28,46.3,77.04,2489931.4,14505.240000000002,9358.66,16.7,27.6,55.7,6.12,56.342000000000006
64,Сахалинская область,3.8445811981546023,12.237427129443827,12.724747324656105,45.42788526362543,9198.692,8.4,15.350000000000001,56017.5,101.975,81482.75,105.85,38.074999999999996,7.6,54.3,17.2,1.5999999999999999,2145567.25,3902.948708367787,324685.8,19.440000000000005,108.88,99.2,474810.2,20568.2,12947.46,19.619999999999997,23.18,57.2,2.2399999999999998,51.20399999999999
65,Свердловская область,4.53538748778408,10.991839220022259,9.5041510831588,63.399708271675344,7269.7480000000005,9.3,23.325,37103.25,98.35,39294.5,103.95000000000002,42.825,4.7,52.425,15.8,3.033333333333333,564467.95,1089.6441821675687,267062.0,14.540000000000001,42.64,85.38,4313708.0,16441.66,10511.759999999998,19.56,25.580000000000002,54.86,7.88,70.398
66,Севастополь,3.826203173043723,8.852062223616985,4.4189687781391935,40.23936233271698,6199.866,11.075000000000001,13.474999999999998,29295.5,102.4,32605.5,106.175,41.475,4.975,53.5,13.7,2.1,278202.025,105.75919598443217,155882.4,15.839999999999998,44.959999999999994,75.1,498380.0,15396.9,9941.6,17.16,26.5,56.339999999999996,1.6800000000000002,56.948
67,Северная Осетия,4.916850996326177,12.31476230392462,5.5435160481680175,91.90761179623486,6791.093000000001,14.025,24.8,23610.25,98.6,27725.75,104.375,34.7,9.4,55.925000000000004,16.4,3.2000000000000006,240766.82499999998,92.82367078673178,169486.4,7.5600000000000005,38.32,70.12,697354.4,14624.2,9439.4,21.12,23.1,55.779999999999994,13.0,95.96399999999998
68,Смоленская область,5.766020404881276,7.837674110620523,8.986388471258032,81.92542896503193,8164.403,16.299999999999997,25.925,26548.5,100.15,30018.5,103.525,34.724999999999994,10.2,55.075,19.4,2.3000000000000003,360253.65,590.3483499903432,186395.6,7.62,67.64,80.36000000000001,923518.6,15041.36,9389.439999999999,15.62,28.380000000000003,56.0,6.4,56.705999999999996
69,Ставропольский край,6.235164862063355,10.050630110730099,5.5136505897396555,74.21219000277938,6286.1759999999995,14.0,28.849999999999998,23542.5,99.42500000000001,30355.75,104.175,39.099999999999994,4.475,56.4,19.0,2.966666666666667,286653.275,270.5695236630903,189304.4,4.0200000000000005,25.479999999999997,78.58000000000001,2888956.8,14499.720000000001,9646.54,18.78,24.34,56.879999999999995,7.419999999999999,80.208
70,Тамбовская область,3.4054560853741167,7.771585895785364,9.065254880369412,108.75822948204481,7766.531999999999,10.425,23.050000000000004,27232.25,97.05,27668.25,103.9,34.85,5.55,59.6,19.7,2.4,345406.175,360.10719368120425,202750.4,6.1,40.82000000000001,83.62,1017380.2,14349.02,9125.560000000001,15.059999999999999,30.54,54.4,3.3,70.45
71,Тверская область,4.579437157218633,8.626803632674811,7.745079325951911,77.44774468222924,9336.798,11.924999999999999,22.700000000000003,26092.5,99.475,32065.5,105.0,37.474999999999994,7.375000000000001,55.1,17.5,2.533333333333333,367555.89999999997,653.37652449692,193822.4,8.16,44.480000000000004,86.58,1268232.2,15496.2,9274.76,16.8,29.3,53.9,4.54,49.87
72,Томская область,4.603914327614372,10.121809662018606,11.75510104767198,53.15564144587112,7430.6630000000005,14.674999999999999,22.5,27807.75,98.55,43418.75,103.875,40.225,4.5,55.3,16.9,2.066666666666667,544480.75,756.3498460194039,160401.8,8.959999999999999,37.339999999999996,79.34,1072807.0,17161.2,11288.78,19.040000000000003,22.82,58.14,8.58,53.186
73,Тульская область,5.702885523038736,7.601615630966217,5.404567074074687,97.06019468464635,7862.184,10.075,24.175,28094.0,97.925,36334.75,104.775,39.925,3.6000000000000005,56.474999999999994,16.6,1.2,448943.10000000003,1051.8235941976575,206532.2,10.2,66.84,88.3,1523949.8,16404.079999999998,9287.8,14.940000000000001,30.359999999999996,54.7,3.5200000000000005,73.22200000000001
74,Тюменская область,4.061308859609721,12.926179552884586,4.3899770966900835,25.05616933442294,0.0,12.1,20.25,47189.75,101.92500000000001,70954.75,103.85000000000001,44.449999999999996,4.975,50.55,18.1,3.9666666666666663,2160744.7,4274.791538312354,262354.4,12.933333333333332,55.96666666666667,99.78,3736532.0,20347.539999999997,12004.419999999998,22.619999999999997,17.639999999999997,59.739999999999995,4.8,74.59200000000001
75,Удмуртская Республика,4.447800180882472,10.507126425247822,12.65594820432559,70.55486663573997,9987.828000000001,12.174999999999999,21.975,24584.25,98.65,32808.75,104.94999999999999,42.975,6.2749999999999995,50.775000000000006,14.8,2.8333333333333335,443020.1,851.8508192596096,160161.8,8.68,49.82,84.4,1480227.4,15600.579999999998,10327.52,20.5,24.8,54.7,4.86,55.864
76,Ульяновская область,4.650986150065265,9.07897913020186,7.751285967391408,91.11861160582218,8975.181999999999,15.175,26.425,23592.25,97.77499999999999,29447.0,103.6,35.575,4.9,59.525000000000006,17.9,3.1333333333333333,327954.675,525.2524105773991,161086.0,15.9,77.9,82.84,1228164.0,14796.4,9177.34,16.54,28.859999999999996,54.6,5.180000000000001,63.65
77,Хабаровский край,4.738226226236783,11.035381033264397,11.320364424796724,51.52107058383139,7404.379,12.225,23.125,39845.25,99.05,48236.0,103.32499999999999,37.525,8.025,54.475,15.4,3.633333333333333,591627.7,673.8412078847041,263417.4,19.119999999999997,135.6,88.34,1314980.0,18218.1,11026.52,18.98,22.740000000000002,58.260000000000005,5.0,74.104
78,Ханты-Мансийский автономный округ,3.8303139835873976,12.781354113409815,7.432870191488696,30.09981097420566,15019.671999999999,8.95,16.225,51800.5,101.19999999999999,73131.0,102.55,46.725,5.050000000000001,48.2,13.9,3.5666666666666664,2399827.125,5017.543273607749,260346.8,6.419999999999999,32.34,105.94000000000001,1673917.4,22998.34,13522.439999999999,23.1,15.839999999999998,61.08,3.9,84.602
79,Челябинская область,5.067306363118013,10.301639997260507,12.40131063204968,63.53193340178707,9047.94,12.85,24.325,25039.5,99.47500000000001,36063.5,102.925,42.225,3.25,54.550000000000004,16.0,3.266666666666667,438610.075,974.0019484538972,164212.4,19.720000000000002,63.94000000000001,91.32000000000001,3478170.8,15756.059999999998,10191.52,19.419999999999998,25.580000000000002,54.98,7.080000000000001,71.48400000000001
80,Чеченская Республика,6.912822195717159,20.38006197594499,0.7732401378678011,107.92039803990187,3659.362,20.575000000000003,30.375,23603.75,100.1,26738.5,103.45,46.02499999999999,6.6499999999999995,47.324999999999996,19.2,3.533333333333333,160454.075,50.78508882026988,122433.6,1.44,3.5200000000000005,63.98,1456493.4,14887.460000000001,11850.099999999999,33.739999999999995,10.4,55.85999999999999,44.16,71.834
81,Чувашская Республика,3.1281970236259378,10.06298784824914,8.066388321005386,64.55269050814422,9053.967,17.6,22.975,19432.75,101.15,28270.25,105.39999999999999,32.9,5.699999999999999,61.425,14.2,5.233333333333333,265985.325,390.8725898178877,136751.4,1.08,71.5,74.1,1212341.0,14774.98,9004.060000000001,19.18,25.06,55.760000000000005,5.0600000000000005,60.024
82,Чукотский автономный округ,13.036051031922142,11.88300449569226,14.327327215856133,33.13454072834313,12784.077,8.45,6.475,81189.25,103.64999999999999,104651.75,105.05000000000001,24.475,0.675,24.85,14.1,4.633333333333334,1864428.7750000001,3878.728954213213,205954.2,0.8,263.23999999999995,108.38,48171.6,27286.5,16497.78,22.720000000000002,14.7,62.58,7.720000000000001,75.43199999999999
83,Ямало-Ненецкий автономный округ,5.22379764060594,13.962282418985476,8.869381230890301,26.543859084213835,11153.14,5.55,13.4,82110.25,103.7,99842.5,105.025,47.699999999999996,1.05,51.225,15.5,2.6333333333333333,5251379.3,10898.353855170728,262558.4,14.24,74.96000000000001,120.78,510645.6,23117.26,12799.16,23.979999999999997,11.84,64.17999999999999,3.4799999999999995,86.838
84,Ярославская область,4.046711659506714,9.303471689085473,7.560604967475962,83.78675376556073,9626.559000000001,10.275,22.9,28106.75,97.975,34507.5,103.125,36.325,5.275,58.425,15.8,1.5,465438.45,709.8749483879488,203151.4,8.68,55.82000000000001,89.64000000000001,1242378.0,16011.86,9615.019999999999,17.28,28.339999999999996,54.379999999999995,6.04,70.138
