region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities,Cluster
Алтайский край,5.925576805671055,9.684143614326002,13.557761975194328,78.08105428527584,10279.519,17.5,29.675,28.245255616686105,98.7,25.392790851562445,105.4,37.55,6.15,56.3,18.0,2.2666666666666666,260336.075,353.47939247681893,38.41442590664359,14.68,82.1,80.28,2249702.2,53.588624411338934,60.58803063200019,19.0,27.1,53.9,6.9,48.258,1
Амурская область,5.189190920429171,10.527970341588652,14.95781391107924,83.64249738278957,8827.875,15.8,23.700000000000003,39.26215058412318,101.375,42.84376515442885,107.175,38.2,5.625,56.175,17.3,2.5666666666666664,471565.625,406.40442991917007,57.47773653959267,20.36,86.32000000000001,85.58000000000001,786499.2,59.58616898466275,63.878776417190686,20.36,22.74,56.92,10.06,56.072,1
Архангельская область,4.8043841551683375,9.755236874891478,12.20706561970816,80.29364110747943,0.0,13.55,23.200000000000003,42.20331809975003,99.9,47.6776546976042,104.8,35.2,7.025,57.8,16.9,2.6666666666666665,721405.7250000001,1177.4569462877948,59.64037441629514,7.139999999999999,77.52000000000001,82.86,1073211.2,71.43319956755172,65.40383009107893,18.860000000000003,26.360000000000003,54.78,8.379999999999999,53.394000000000005,1
Астраханская область,5.745306765575043,11.484549877410146,10.10726914891481,44.34770320459799,6430.322000000001,15.425,27.825,29.44942927344637,98.875,33.01593141060709,105.675,40.175,4.9,54.9,19.2,2.1,532061.75,790.1871934314174,43.453980003547805,0.2199999999999999,17.08,83.10000000000001,987793.2,52.022575266157276,60.150395992672955,20.44,24.14,55.42,9.18,60.582,1
Белгородская область,4.274275960030048,8.661738568803496,5.203892934849261,133.45136935169117,8218.121,7.575,15.475,38.45835325065994,99.125,31.766071757041807,105.025,22.05,6.175000000000001,21.775,17.8,1.7666666666666668,598089.375,1156.4788585561423,56.37609879998683,3.12,41.58,87.75999999999999,1551543.4,57.63245560991699,55.896247858802816,16.839999999999996,27.56,55.6,3.28,78.66799999999999,1
Брянская область,4.670764558599354,8.542804015178255,8.112670553328716,89.64706444080957,8380.19,13.8,23.05,33.083263051811436,99.575,27.183730802399385,104.275,41.375,3.875,54.775,24.1,0.3,316206.125,426.2437114155568,54.63728114292397,8.62,70.5,77.8,1198313.0,56.71060780972276,53.6943758493567,17.04,27.76,55.220000000000006,4.66,67.372,1
Владимирская область,5.788210510405516,8.265263194612183,7.940960337079401,91.31474060856252,10219.807,12.85,24.2,29.95149813817398,99.3,30.04034810693562,105.0,39.5,7.225,53.275000000000006,16.1,1.3333333333333333,369975.85,752.0047018109875,43.153890718754866,8.379999999999999,76.97999999999999,84.94000000000001,1380439.6,57.2604034962344,57.45742760541116,16.580000000000002,29.18,54.24,6.0,59.276,1
Волгоградская область,4.834489691184308,8.583599682434455,7.841070344578251,68.96418684253925,6906.853,12.95,24.5,28.581084578356542,99.65,30.622755950091612,104.2,39.425,6.225,54.3,17.9,2.6,371060.225,757.1958201195512,40.72384071042588,7.979999999999999,80.06,79.8,2537113.4,55.196892236087436,59.05982501888133,17.160000000000004,27.279999999999998,55.580000000000005,4.42,71.83399999999999,1
Вологодская область,5.673227958389939,9.966710954099804,11.519442961609826,83.77483863513498,10204.027999999998,13.275,26.375,33.7223428256521,98.70000000000002,35.6035613355725,106.35,39.325,5.575000000000001,55.075,16.9,1.6,517670.5,1237.327595205618,42.550125033107115,6.419999999999999,49.72,83.0,1167184.0,59.958221098345334,62.663582615357946,19.360000000000003,26.32,54.32000000000001,7.76,47.986,1
Воронежская область,4.337490779643618,8.662380130410268,6.387693048313532,92.80137336605156,5714.238,8.825,21.075000000000003,37.719712216197124,98.475,30.869287900106784,104.525,36.225,5.4,58.400000000000006,19.9,1.7333333333333334,418233.225,525.1832871633744,61.87617963294466,18.540000000000003,72.66,85.6,2336122.8,54.54697377824198,54.515334790499104,15.739999999999998,28.72,55.54,5.92,74.36800000000001,1
Еврейская автономная область,9.697718926454296,10.99335589773498,12.080073700744224,81.28968955584898,7081.308000000001,23.875,28.25,31.367886469716023,99.3,38.768582465176166,104.825,34.125,9.65,56.225,13.8,1.6333333333333335,358445.225,300.4082348276855,39.798807013647256,41.08,94.12,71.67999999999999,156932.0,57.602770600846576,64.16645148619997,20.98,22.74,56.3,7.4,49.594,1
Забайкальский край,6.515769452421951,12.532467805665942,18.20084236521133,76.36426495459645,6980.712,21.450000000000003,25.875,30.29524328570428,100.7,39.81204327686828,105.625,37.3,7.85,54.85,17.1,3.0,337103.05,362.6517529468812,40.19049060445854,9.64,78.66,75.96000000000001,1035381.8,55.6627636376963,61.58901379458326,22.76,20.34,56.9,9.18,42.372,2
Ивановская область,3.876805532118225,8.645061763750077,8.150243841199375,81.646306654914,10033.992,14.225,26.475,30.88347678882965,97.875,25.282663691720398,102.95,37.3,8.475,54.225,18.1,2.6333333333333333,240565.15,398.360166220612,43.61834854090368,7.1,76.6,80.66,966430.8,55.51587781503674,56.73466369414552,16.46,28.72,54.82000000000001,6.0600000000000005,62.96600000000001,1
Иркутская область,6.373014518644505,12.037960593081968,12.19504214782145,87.524564615766,9455.401,17.775,26.675,31.000392764606122,100.725,42.284290515925434,104.6,39.475,6.075,54.425,16.3,3.4333333333333336,603108.65,997.3548070657212,39.51802918929703,14.5,73.48,81.04,2400011.0,61.3750389386693,65.52918028971172,21.82,22.6,55.56,6.68,63.234,1
Кабардино-Балкарская Республика,5.000231441870994,11.881276903879186,4.502817701495879,63.899000983173565,4519.195,24.325,27.25,25.780886064772666,99.025,25.303685795985253,104.65,35.325,10.975,53.725,18.9,4.1000000000000005,193471.1,98.24293260938484,40.16847652232538,10.04,39.78,72.6,892519.8,47.79169186227622,56.565307574716115,21.6,20.36,58.06,19.42,83.08999999999999,2
Калининградская область,4.611851387257846,9.714591048588662,7.397531197407669,69.69821900355176,8456.669,13.6,10.225,34.22045359744977,100.775,32.54818959071396,101.9,34.15,9.4,56.425,15.6,2.833333333333333,497764.975,1237.9597232505,44.77575856448529,5.96,64.04,83.3,1005168.4,55.61658695692008,56.8475273642878,17.68,25.2,57.120000000000005,7.859999999999999,81.776,1
Калужская область,3.966285870694455,9.115142326149384,8.621837786389095,73.25454322136248,8030.205,10.075,17.45,37.04774982416934,98.8,37.73587159316495,104.375,37.8,10.625,51.575,15.5,0.9,513323.6,1626.905433314524,51.07242485606083,6.460000000000001,54.580000000000005,90.14,1051897.0,58.285086031554066,56.105851817638495,16.8,28.02,55.18000000000001,2.9,58.63599999999999,1
Камчатский край,5.937502698315452,11.219717639302202,12.565868883581269,45.26485679134178,8442.412,15.525,14.55,61.54073334327931,102.675,73.04560124412636,105.6,41.55,3.0,55.45,15.9,5.566666666666666,848223.125,1139.461235614925,48.758489303269045,8.419999999999998,59.7,87.38,299116.4,85.7680537994979,90.369613366162,18.82,20.48,60.7,5.880000000000001,66.702,0
Карачаево-Черкесская Республика,5.981418050409663,10.563520718864666,6.39481078843672,107.64926501011314,5545.585,23.125,23.75,22.45547906625543,98.375,25.056437183324693,104.975,34.925000000000004,9.2,55.875,18.3,6.1000000000000005,191652.725,184.14918619219145,20.983302220424843,4.48,21.7,63.08,469928.6,51.536034302677145,62.31395981762397,20.48,22.18,57.31999999999999,14.36,47.916,2
Кемеровская область,5.973830983487444,9.238931883315292,14.24339174920211,83.67629270346845,8229.231,13.9,23.85,29.115122655210524,100.2,37.235402179132215,105.9,42.025000000000006,5.025,52.97500000000001,16.3,1.2666666666666668,421738.525,1246.291737015328,36.93859790935014,12.78,37.96,80.05999999999999,2664847.0,58.4090301064629,67.0543551920319,19.52,25.48,55.0,8.84,49.854,1
Кировская область,4.37854848843749,9.660643634037534,12.697937231457573,102.19490102289636,8051.196999999999,14.8,26.05,27.961795269165542,99.125,27.723377774380264,105.225,38.075,5.05,56.825,14.9,2.033333333333333,285374.475,461.68619563504905,39.84347397940405,4.3,65.47999999999999,85.08,1209279.0,56.786249610613304,58.422648380569996,18.1,29.18,52.720000000000006,6.640000000000001,48.236,1
Костромская область,6.417351105216058,9.617369769509445,10.28436450712267,99.46516313895717,8154.602000000001,12.8,21.325,30.104036950319845,98.175,27.69160573043451,104.85,42.4,5.425000000000001,52.15,14.5,2.2,304832.425,575.2630355572717,43.15654420186913,7.739999999999999,56.2,81.94000000000001,606601.6,55.5749546479028,57.53986293913484,18.380000000000003,28.08,53.52,5.98,48.7,1
Краснодарский край,4.079319679017502,10.812841035098124,5.441006015784684,74.2200794885943,6704.499,10.5,23.975,42.71269421296367,99.975,33.16260836536417,103.925,40.875,8.025,51.1,18.1,2.966666666666667,448148.3,403.1835687347626,65.49695561951214,3.4,14.6,84.0,5741951.0,54.17646088725194,57.917731961512395,18.78,25.92,55.3,5.0,63.268,1
Красноярский край,5.856813628425426,10.91018055329548,11.463939991122905,62.62579889810976,7524.594,17.25,22.75,37.5729583091027,100.6,45.65379938701455,105.45,38.875,5.6000000000000005,55.5,16.6,3.333333333333334,850749.55,1567.8282711780275,48.466163913514144,15.56,64.62,85.05999999999999,2874764.6,62.395470287504814,66.13689841906003,19.82,22.84,57.32000000000001,6.08,64.786,1
Курганская область,5.530328196754924,9.953058734907824,16.46567765756782,90.6305254940161,9776.939,19.55,26.6,25.623475753636114,97.3,28.046831515000942,105.25,39.525,4.025,56.475,16.7,3.266666666666667,269786.7,343.80961495977346,35.379283471109716,20.34,69.32,74.02000000000001,811858.8,54.403019808330136,58.39003793237636,19.36,29.06,51.58,10.500000000000002,43.31,1
Курская область,4.77152440639753,8.734558604449703,8.349477341793882,107.83674240554753,6091.254,10.0,23.025,34.19853185199168,99.475,30.034137030675552,104.725,38.1,7.025,54.875,17.1,2.1,425976.025,637.7751274110487,50.17289408032486,4.58,59.24,84.17999999999999,1105247.6,54.49544646620124,55.08886650203846,16.82,28.68,54.5,4.56,70.376,1
Ленинградская область,3.6595332794942967,7.217998425608026,4.953514170184778,72.37212108330047,7565.437000000001,8.725,16.675,38.504328022384534,101.725,42.43526744655488,103.85,12.625,5.85,31.55,17.0,3.933333333333333,625482.85,1294.7705843006229,59.795259208446325,8.6,27.76,74.03999999999999,1910991.8,59.754310739743076,55.29362132359626,15.419999999999998,27.42,57.18000000000001,3.86,65.01599999999999,1
Липецкая область,3.45919941169131,8.722919529836407,7.002956471202966,102.0321762927761,6415.736,8.625,21.2,37.65394697982286,99.42499999999998,31.337029719999904,104.875,39.45,5.7,54.875,16.5,1.1,506375.175,1279.0676132954902,57.99231570945539,6.359999999999999,72.56000000000002,90.44,1161515.8,56.08128561742986,56.31363734999497,17.12,28.380000000000003,54.52,2.1,79.062,1
Магаданская область,4.467080186320919,9.679935860541226,13.509676613575698,35.656039040143966,6881.12,9.65,12.4,76.3741433012322,103.525,85.77018540062636,106.4,36.225,6.575,55.0,13.8,3.8666666666666663,1476716.35,2635.891550440008,59.70435284249464,7.459999999999999,109.5,107.44,140672.4,86.11012771883532,92.1934951247986,18.78,21.42,59.81999999999999,5.9,57.178,0
Москва,4.624269321854447,10.305446502349476,2.882642974255202,80.19955297071695,7608.420999999999,6.625,16.900000000000002,87.45284541211359,102.3,84.08292264582293,104.75,39.65,9.775,50.625,13.8,2.933333333333333,1486806.225,1437.4727842011266,100.0,9.1,20.880000000000003,120.60000000000002,12779298.4,62.337859381012585,60.39697462325234,15.22,27.2,57.58,3.16,90.288,0
Московская область,3.829114995292285,9.70780488997054,4.893199578933085,51.14415187453996,7546.666999999999,7.325,18.75,55.199868469527246,100.625,50.738520856077415,104.05,45.05,7.649999999999999,47.275,14.8,2.533333333333333,636135.825,771.4164983100411,83.53553038459289,11.260000000000002,34.620000000000005,78.13999999999999,8218257.8,61.753247943122055,58.8419775266733,17.8,24.52,57.67999999999999,4.48,76.55999999999999,1
Мурманская область,5.224739309258879,9.780193688817777,9.66047547070808,40.82349512451548,9963.702,10.475,23.575,52.19476252964764,100.85,58.00834673094334,105.0,40.35,3.825,55.75,17.7,3.266666666666666,807275.275,1584.0448105122828,58.39087870093329,6.5,44.3,81.52,702723.0,76.02367471093766,79.00481155646398,18.660000000000004,22.08,59.260000000000005,6.719999999999999,91.086,0
Ненецкий автономный округ,4.284334334281577,14.439984409457796,14.59039561046636,69.55947186978128,13568.83,9.775,15.275,96.44045658124291,101.925,80.55837575578049,103.925,48.875,2.825,48.275000000000006,20.9,7.600000000000001,6519595.449999999,15428.271150634566,55.09078106258241,1.82,148.36,125.4,41826.8,88.79189342715263,76.98938887535172,24.58,18.64,56.78,9.16,55.174,0
Нижегородская область,5.04466773415712,9.334475859826394,7.304524877637782,90.86194113125408,9943.743,9.6,22.8,39.33613647504423,98.375,32.52430083586753,103.1,35.6,7.5,56.925,17.5,1.5333333333333334,474229.17499999993,944.2065515755762,59.12088138881341,7.459999999999999,42.220000000000006,92.26,3189745.6,57.446796034669156,56.735997206896926,16.98,27.82,55.2,4.040000000000001,69.74199999999999,1
Новгородская область,5.049233167060599,8.921375671781673,10.921222321763846,99.22421587036057,9225.529,13.725,24.025,31.4577047323568,96.575,30.366429610589407,101.45,33.325,7.25,59.4,17.6,1.4333333333333331,444603.45,743.2217991250694,49.78194756815643,9.86,59.5,86.66000000000001,598364.8,57.82397889066021,56.32563896475769,17.66,29.46,52.88,6.159999999999999,44.584,1
Новосибирская область,5.187980652881739,11.02894483278524,8.372970175945616,65.57349858453529,8443.207,14.225,23.475,36.13190801392031,101.325,35.49462861347278,105.2,36.325,7.025,56.6,16.3,2.8666666666666667,470008.92499999993,485.0254344873343,48.13236556545479,17.860000000000003,40.34,84.06000000000002,2801594.6,57.145328275887344,61.74139793354014,18.82,24.82,56.34,7.720000000000001,64.444,1
Омская область,6.081809732696641,10.22565322397268,9.232941662917153,65.61462453954121,7921.219,13.825,29.025,31.80449456675628,98.625,32.383596069822055,104.35,41.65,5.550000000000001,52.825,16.9,2.233333333333333,382728.4,997.2278622498488,44.82587991219919,7.479999999999999,27.0,82.62,1920888.2,54.98924376523191,63.081578248709825,19.54,24.98,55.48,8.02,57.636,1
Оренбургская область,5.115625517306109,10.587913340569548,10.499808847648437,99.84487908125593,8316.219,14.2,25.85,29.075846194598114,99.125,30.045842520550302,104.325,42.85,5.25,51.875,19.0,2.4666666666666663,520276.825,942.7765084804062,41.25704340066465,4.18,78.89999999999999,82.10000000000001,1913377.0,54.0121305407436,63.469872916234806,20.1,25.16,54.760000000000005,9.16,71.446,1
Орловская область,5.7988507496165,8.398624668751633,6.1988174854334215,84.05238063111463,9691.76,13.475,25.65,30.989127423190162,99.475,27.193047416789497,104.65,38.825,6.7250000000000005,54.425,18.8,2.5,347763.625,365.6794651377649,46.72307120032274,4.76,84.64000000000001,76.24000000000001,736987.8,58.32004837557033,57.62799600916002,16.419999999999998,29.2,54.36,4.6,67.51200000000001,1
Пензенская область,4.376854717898548,8.066134848772588,7.503445921054537,73.78102119174493,8063.458,13.575,23.425,27.479821337774517,99.9,28.364790842006943,103.4,37.3,9.5,53.25,16.9,0.8666666666666667,328419.825,380.137483890769,41.331537482168834,6.659999999999999,104.92,81.96000000000001,1307767.4,53.87895112967951,53.09090071512652,15.96,29.6,54.44,5.7,67.242,1
Пермский край,4.600152954374066,10.731367328222763,11.003626722782126,79.2823381835017,9432.728,14.275,23.525,35.88193922196072,98.75,35.814499040866494,105.0,40.525,5.175,54.275000000000006,16.0,2.4,533400.35,1204.3492667944292,52.432089259240875,12.24,79.64,79.46000000000001,2586994.0,58.36175398090631,62.47058695169896,20.3,24.660000000000004,55.040000000000006,6.659999999999999,66.94200000000001,1
